	x_coord	y_coord
Landmark_0	75.24	522.5
Landmark_1	365.75	292.59999999999997
Landmark_2	754.4899999999999	399.19
Landmark_3	955.1299999999999	716.87
Landmark_4	267.52	624.91
Landmark_5	689.6999999999999	585.1999999999999
