	B-cells	CAFs	Endothelial	Epithelial	Myeloid	Plasmablasts	SMCs	T-cells
13304x6831	6.758034e-10	0.02133436	0.003120269	0.75788796	0.052219052	0.12538964	0.015889172	0.02415955
6181x15359	0.0371073	0.042117603	0.037891723	0.48038995	0.10720241	0.12749739	0.027461695	0.14033188
10833x11573	0.0069142445	0.011046397	0.012961766	0.7687035	0.11886476	0.030420238	0.004030844	0.047058325
11265x4212	2.791654e-10	0.018798402	2.794936e-10	0.829444	0.06392552	0.059235316	0.0026151624	0.025981667
11788x11814	1.9856994e-10	0.08784681	0.019309066	0.5997875	0.14043126	0.052918147	1.9899953e-10	0.09970727
15624x7076	0.008777113	0.10465022	0.1122271	0.44391602	0.11859189	0.08684538	0.04639449	0.07859781
16707x9929	0.016752966	0.17744091	0.08520065	0.35314065	0.09971861	0.20620671	0.035605848	0.025933646
19567x12075	1.09844446e-10	0.005388097	0.0030043349	0.9475749	1.0999225e-10	0.042290654	0.001742034	1.0982182e-10
8088x16789	0.00028817652	0.032328874	0.0027241404	0.8806228	0.015174235	0.039878257	0.002206592	0.026776927
6486x4910	0.0092627555	0.019968387	0.017361624	0.7368315	0.06476629	0.018516365	0.0227188	0.11057428
20127x7327	5.843337e-10	0.0883328	0.04367406	0.5878903	0.10832764	0.11413741	0.03328441	0.024353331
16176x5177	1.3390211e-10	0.16246901	0.36297977	0.07081901	0.16901703	1.3390389e-10	0.18512043	0.04959482
8366x14890	0.0137723	0.06632291	0.13267441	0.51180154	0.1397094	0.014423537	0.038860098	0.08243581
9608x10382	0.00136642	0.028888466	0.017092176	0.6414617	0.15265676	0.038815636	0.0022541282	0.11746478
8902x18217	0.02346714	0.036374643	0.0010478343	0.9011238	0.0058893524	0.016561802	3.8547482e-10	0.015535454
7287x10612	1.4551774e-10	0.0066279676	0.0039566047	0.9069564	0.053532433	0.0035950295	1.451308e-10	0.025331518
16553x15865	2.8532549e-10	0.011570395	0.006453877	0.9762868	0.0017488236	2.8639685e-10	0.0039401026	2.8602565e-10
12761x5879	0.004108994	0.10571586	0.034850504	0.4081237	0.23410998	6.455067e-10	0.0071341125	0.20595682
6730x14410	0.009936429	0.03838326	0.036864914	0.62221277	0.07369064	0.18250287	0.018479828	0.017929357
8533x5154	1.2463652e-10	0.019358216	0.0018575776	0.9231169	0.030576294	0.024668517	0.00042248418	1.248752e-10
8085x17739	3.9822562e-10	3.9857895e-10	0.0068568513	0.9421791	3.9811096e-10	3.9985665e-10	0.035586637	0.015377389
13030x7305	0.007405537	0.057833157	0.022238579	0.7449495	0.10333515	0.028397098	0.012125453	0.023715371
8106x10615	1.13369536e-10	0.0056731515	0.0071229036	0.87796545	0.060003582	0.031003151	1.13623035e-10	0.018231818
19284x15399	0.006639377	0.14081222	0.04785634	0.25368732	0.16747081	0.24228866	0.010157075	0.13108823
17389x10168	0.008761513	0.0755538	0.03784063	0.5427635	0.06632135	0.20772652	0.035733897	0.025298769
19307x7799	0.009665995	0.060766887	0.039689112	0.5670284	0.14962146	0.07650715	0.06313554	0.033585463
6987x19636	0.002004234	0.040755544	2.4709798e-10	0.9078698	0.02162341	0.026279569	2.4679606e-10	0.0014674214
6214x4435	0.006427649	0.025844866	0.032251235	0.55501956	0.19939305	0.007887119	0.04988752	0.12328903
10947x18936	3.6184136e-10	0.035197895	0.04800499	0.89508617	3.6306225e-10	3.624001e-10	0.021710902	3.6179026e-10
7146x12274	0.003722661	8.046757e-11	0.00046186484	0.8851382	0.08418635	8.045621e-11	0.0011269918	0.025363868
16449x5178	4.5137571e-10	0.11202704	0.19149922	0.19504	0.16365972	0.027951589	0.26221377	0.04760867
5351x19156	0.004367871	0.0522329	0.011280053	0.82629615	0.049013384	0.050128687	0.0011677318	0.005513212
7981x7052	1.8762619e-10	0.047551017	0.016643137	0.60477847	0.18270119	0.07895688	0.0048774746	0.06449185
9208x7293	1.7883166e-10	0.001847827	0.0022916703	0.8907012	0.044245884	0.031658135	0.010330937	0.018924322
5767x17020	0.015011095	0.038140383	0.016191658	0.90988433	0.01507464	1.957578e-10	1.9533074e-10	0.0056978934
9717x19644	0.020479523	0.03174676	0.047237728	0.8733093	0.020010417	3.360496e-10	0.0072161956	3.3589007e-10
19278x17299	0.00015623632	1.2648806e-10	0.0015321505	0.9476064	0.012346783	0.020814003	0.014594642	0.0029498416
16970x13254	0.010022167	0.0011673679	2.9748876e-10	0.871926	0.037792027	0.05535015	0.023742294	2.9819147e-10
13445x5644	0.001545287	0.028493652	0.020534936	0.65954983	0.08337783	0.12510072	0.061248437	0.020149348
13433x9444	0.007530213	0.018756581	0.006196605	0.9001312	0.04778947	0.009788397	0.009807552	5.439689e-10
