	xcoord	ycoord
Landmark_0	3184.457142857143	3758.4000000000005
Landmark_1	3813.9428571428575	2888.2285714285717
Landmark_2	6350.400000000001	3869.4857142857145
Landmark_3	6646.628571428572	5350.628571428572
Landmark_4	6146.742857142858	5109.942857142858
Landmark_5	5609.828571428572	7072.4571428571435
Landmark_6	4295.314285714286	7072.4571428571435
Landmark_7	2814.171428571429	7831.542857142857
Landmark_8	2073.6000000000004	6405.942857142858
Landmark_9	1166.4	7053.942857142858
Landmark_10	592.4571428571429	5480.228571428572
Landmark_11	2443.8857142857146	3369.6000000000004
Landmark_12	2073.6000000000004	5035.885714285715
Landmark_13	4887.771428571429	4258.285714285715
