	xcoord	ycoord
Landmark_0	3634.4000000000005	5358.885714285715
Landmark_1	2484.7428571428572	5692.657142857143
Landmark_2	1817.2000000000003	3022.4857142857145
Landmark_3	3170.8285714285716	1464.8857142857144
Landmark_4	3319.171428571429	2540.3714285714286
Landmark_5	4858.228571428572	1687.4
Landmark_6	5766.828571428572	2503.2857142857147
Landmark_7	6786.685714285715	3504.6000000000004
Landmark_8	6137.685714285715	5507.228571428572
Landmark_9	7324.4285714285725	5599.942857142858
Landmark_10	6007.885714285715	6805.228571428572
Landmark_11	3393.3428571428576	6360.200000000001
Landmark_12	4988.028571428572	5859.542857142857
Landmark_13	3041.028571428572	3968.171428571429
