	xcoord	ycoord
Landmark_0	2193.676190476191	5670.095238095239
Landmark_1	1524.4190476190481	5205.333333333335
Landmark_2	2565.485714285715	2565.485714285715
Landmark_3	3885.4095238095247	2193.676190476191
Landmark_4	3922.590476190477	3030.24761904762
Landmark_5	5670.095238095239	3309.1047619047627
Landmark_6	5911.77142857143	4889.295238095239
Landmark_7	6097.6761904761925	6153.447619047621
Landmark_8	4629.028571428573	7175.9238095238115
Landmark_9	5149.561904761907	8012.49523809524
Landmark_10	2825.752380952382	7882.361904761907
Landmark_11	1840.4571428571433	6339.352380952383
Landmark_12	3309.1047619047627	6859.885714285716
Landmark_13	2769.980952380953	4052.723809523811
