	xcoord	ycoord
Landmark_0	3951.6571428571433	2189.1809523809525
Landmark_1	4619.542857142857	1799.5809523809526
Landmark_2	6530.438095238096	3116.8
Landmark_3	6845.828571428572	4600.990476190476
Landmark_4	6029.52380952381	4211.390476190477
Landmark_5	5435.847619047619	5992.419047619048
Landmark_6	4434.019047619048	5565.714285714286
Landmark_7	3673.371428571429	6493.333333333334
Landmark_8	2652.9904761904763	4860.72380952381
Landmark_9	1762.4761904761906	5491.504761904763
Landmark_10	1484.1904761904764	3914.552380952381
Landmark_11	3246.666666666667	2059.3142857142857
Landmark_12	3005.4857142857145	3673.371428571429
Landmark_13	5194.666666666667	3506.4
