	xcoord	ycoord
Landmark_0	3361.4285714285716	2952.857142857143
Landmark_1	3918.571428571429	2284.2857142857147
Landmark_2	6035.714285714286	3602.857142857143
Landmark_3	6370.000000000001	4940.0
Landmark_4	5608.571428571429	4661.428571428572
Landmark_5	5348.571428571429	6518.571428571429
Landmark_6	4215.714285714286	6091.428571428572
Landmark_7	3380.0000000000005	7205.714285714286
Landmark_8	2265.714285714286	5627.142857142858
Landmark_9	1467.1428571428573	6370.000000000001
Landmark_10	1077.1428571428573	4902.857142857143
Landmark_11	2711.4285714285716	2748.571428571429
Landmark_12	2470.0	4345.714285714286
Landmark_13	4605.714285714286	3788.571428571429
