	xcoord	ycoord
Landmark_0	4310.780952380952	4273.619047619047
Landmark_1	2917.2095238095235	4738.142857142857
Landmark_2	2006.742857142857	2211.133333333333
Landmark_3	2880.047619047619	1096.2761904761903
Landmark_4	3158.7619047619046	1783.7714285714283
Landmark_5	5314.152380952381	706.0761904761904
Landmark_6	6168.87619047619	2081.0666666666666
Landmark_7	6856.371428571428	2935.790476190476
Landmark_8	6336.104761904761	4812.466666666666
Landmark_9	7097.923809523809	4868.2095238095235
Landmark_10	5332.733333333333	6782.047619047618
Landmark_11	3270.2476190476186	5667.190476190475
Landmark_12	4942.533333333333	5555.704761904762
Landmark_13	3344.571428571428	3344.571428571428
