	xcoord	ycoord
Landmark_0	2993.0666666666675	5837.409523809525
Landmark_1	2119.314285714286	5595.7333333333345
Landmark_2	2509.7142857142862	2918.7047619047626
Landmark_3	4108.495238095239	2063.542857142858
Landmark_4	3773.8666666666677	3123.2000000000007
Landmark_5	5725.866666666669	2993.0666666666675
Landmark_6	6246.4000000000015	4089.904761904763
Landmark_7	6729.752380952383	5484.190476190478
Landmark_8	5539.961904761906	6673.9809523809545
Landmark_9	6357.942857142859	7324.647619047621
Landmark_10	4182.857142857144	7975.3142857142875
Landmark_11	2658.438095238096	6413.714285714287
Landmark_12	4127.085714285716	6692.57142857143
Landmark_13	3123.2000000000007	4368.7619047619055
