	xcoord	ycoord
Landmark_0	4434.019047619048	3357.9809523809527
Landmark_1	5139.009523809525	2875.6190476190477
Landmark_2	6901.4857142857145	4434.019047619048
Landmark_3	6734.514285714286	6252.1523809523815
Landmark_4	6085.1809523809525	5639.92380952381
Landmark_5	5027.695238095239	6957.142857142858
Landmark_6	4100.076190476191	6289.257142857144
Landmark_7	3172.457142857143	6734.514285714286
Landmark_8	2244.8380952380953	5009.142857142858
Landmark_9	1447.0857142857144	5398.742857142857
Landmark_10	1391.4285714285716	3858.8952380952383
Landmark_11	3840.3428571428576	2764.304761904762
Landmark_12	2931.2761904761905	3970.209523809524
Landmark_13	5639.92380952381	4415.466666666667
