	xcoord	ycoord
Landmark_0	5852.999999999999	6150.295238095237
Landmark_1	4979.695238095238	7432.380952380951
Landmark_2	2880.047619047619	5983.066666666666
Landmark_3	3195.9238095238093	3288.828571428571
Landmark_4	3920.580952380952	4403.685714285713
Landmark_5	5407.057142857142	3028.695238095238
Landmark_6	6113.133333333332	3846.2571428571423
Landmark_7	6930.695238095237	3288.828571428571
Landmark_8	8064.133333333332	5016.857142857142
Landmark_9	9123.247619047617	4403.685714285713
Landmark_10	8844.533333333333	6150.295238095237
Landmark_11	6819.2095238095235	7395.219047619047
Landmark_12	7283.733333333333	5815.838095238095
Landmark_13	4478.009523809524	5667.190476190475
