	xcoord	ycoord
Landmark_0	4767.961904761905	5157.561904761905
Landmark_1	3896.0000000000005	6493.333333333334
Landmark_2	2133.5238095238096	5454.400000000001
Landmark_3	2523.1238095238095	2281.9428571428575
Landmark_4	2986.9333333333334	3413.6380952380955
Landmark_5	4675.200000000001	2281.9428571428575
Landmark_6	5250.32380952381	2931.2761904761905
Landmark_7	5881.104761904762	2615.8857142857146
Landmark_8	6975.695238095239	4471.1238095238095
Landmark_9	8014.628571428572	3970.209523809524
Landmark_10	7754.895238095239	5621.371428571429
Landmark_11	5639.92380952381	6753.0666666666675
Landmark_12	6122.285714285715	5324.533333333334
Landmark_13	3506.4	4916.380952380953
