	xcoord	ycoord
Landmark_0	4334.571428571429	3352.8095238095243
Landmark_1	5075.52380952381	2889.714285714286
Landmark_2	7020.52380952381	4149.333333333334
Landmark_3	6964.952380952382	6242.52380952381
Landmark_4	6168.428571428572	5723.857142857143
Landmark_5	4908.809523809524	6909.380952380953
Landmark_6	4260.476190476191	6279.571428571429
Landmark_7	3389.857142857143	6909.380952380953
Landmark_8	2296.952380952381	5223.714285714286
Landmark_9	1611.5714285714287	5649.7619047619055
Landmark_10	1463.3809523809525	4519.809523809524
Landmark_11	3760.3333333333335	2871.1904761904766
Landmark_12	2852.666666666667	4279.0
Landmark_13	5686.809523809525	4371.619047619048
