	xcoord	ycoord
Landmark_0	20361.600203616	21476.6402147664
Landmark_1	4654.0800465408	20700.9602070096
Landmark_2	4896.4800489648005	16289.280162892801
Landmark_3	4896.4800489648005	4169.2800416928
Landmark_4	20555.5202055552	3684.4800368448
Landmark_5	10811.040108110401	16968.00016968
Landmark_6	8290.0800829008	15804.4801580448
Landmark_7	12168.4801216848	14689.4401468944
Landmark_8	8871.8400887184	12071.5201207152
Landmark_9	18228.480182284802	12120.0001212
